week,소매가,평균기온,최저기온,최고기온,강수량,환율,수출량,수출가,생산량,재배면적,물가지수
01월 1주 (2014.01.02 ~ 2014.01.08),14347.0,1.657142857,-3.242857143,7.628571429,0.442857143,1061.77,9045.75,66801060.0,5645479.168,752.5,80.748
01월 2주 (2014.01.09 ~ 2014.01.15),14244.0,-2.7,-7.728571429,2.9,0.0,1061.8,9046.0,66801060.0,5645479.168,752.5,80.748
01월 3주 (2014.01.16 ~ 2014.01.22),14467.0,-1.128571429,-5.742857143,4.057142857,0.414285714,1080.35,9046.0,66801060.0,5645479.168,752.5,80.748
01월 4주 (2014.01.23 ~ 2014.01.29),16148.0,-1.0,-4.314285714,9.1,0.414285714,1081.31,9045.75,66801060.0,5645479.168,752.5,80.748
02월 1주 (2014.02.03 ~ 2014.02.05),16144.0,2.671428571,-2.285714286,8.085714286,1.071428571,1075.0,7538.0,58088630.25,5645479.168,752.5,82.358
02월 1주 (2014.02.06 ~ 2014.02.12),15570.0,0.828571429,-2.514285714,4.9,1.814285714,1063.5,7538.0,58088630.25,5645479.168,752.5,82.358
02월 2주 (2014.02.13 ~ 2014.02.19),13635.0,2.285714286,-2.157142857,7.371428571,0.771428571,1073.0,7538.0,58088630.25,5645479.168,752.5,82.358
02월 3주 (2014.02.20 ~ 2014.02.26),12578.0,3.328571429,-2.657142857,10.3,0.585714286,1066.46,7538.0,58088630.0,5645479.168,752.5,82.358
02월 4주 (2014.02.27 ~ 2014.03.05),12601.0,5.685714286,0.957142857,11.22857143,0.557142857,1065.15,7538.0,58088630.25,5645479.168,752.5,83.296
03월 1주 (2014.03.06 ~ 2014.03.12),13852.0,2.914285714,-2.871428571,8.557142857,3.471428571,1071.23,8387.75,61509939.75,5645479.168,752.5,83.296
03월 2주 (2014.03.13 ~ 2014.03.19),15133.0,8.428571429,2.9,14.15714286,1.571428571,1080.0,8387.75,61509939.75,5645479.168,752.5,83.296
03월 3주 (2014.03.20 ~ 2014.03.26),18095.0,9.771428571,3.971428571,15.74285714,2.985714286,1070.0,8387.75,61509939.75,5645479.168,752.5,83.296
03월 4주 (2014.03.27 ~ 2014.04.02),21361.0,13.54285714,7.285714286,20.58571429,2.071428571,1054.3,8387.75,61509939.75,5645479.168,752.5,83.296
04월 1주 (2014.04.03 ~ 2014.04.09),27326.0,9.8,3.457142857,16.71428571,0.9,1035.65,9081.25,68588575.0,5645479.168,752.5,83.205
04월 2주 (2014.04.10 ~ 2014.04.16),32122.0,14.0,8.028571429,20.71428571,0.371428571,1038.0,9081.25,68588575.0,5645479.168,752.5,83.205
04월 3주 (2014.04.17 ~ 2014.04.23),35414.0,14.04285714,8.442857143,20.45714286,1.885714286,1041.2,9081.25,68588575.0,5645479.168,752.5,83.205
04월 4주 (2014.04.24 ~ 2014.04.30),29701.0,15.52857143,10.8,20.74285714,9.085714286,1030.12,9081.25,68588575.0,5645479.168,752.5,83.205
05월 1주 (2014.05.02 ~ 2014.05.07),20173.0,14.42857143,7.828571429,21.41428571,0.257142857,1024.2,12682.5,66149143.75,5645479.168,752.5,83.054
05월 2주 (2014.05.08 ~ 2014.05.14),14531.0,17.41428571,11.4,23.61428571,5.485714286,1023.82,12682.5,66149143.75,5645479.168,752.5,83.054
05월 3주 (2014.05.15 ~ 2014.05.21),13658.0,18.72857143,12.74285714,25.25714286,0.642857143,1024.85,12682.5,66149143.75,5645479.168,752.5,83.054
05월 4주 (2014.05.22 ~ 2014.05.28),12642.0,20.72857143,15.12857143,26.94285714,1.6,1020.8,12682.5,66149143.75,5645479.168,752.5,83.054
05월 5주 (2014.05.29 ~ 2014.06.03),12288.0,22.24285714,16.97142857,28.04285714,4.114285714,1019.95,12683.0,66149144.0,5645479.168,752.5,82.729
06월 1주 (2014.06.05 ~ 2014.06.11),12417.0,20.85714286,17.41428571,25.54285714,1.685714286,1018.05,33115.0,98953561.5,5645479.168,752.5,82.729
06월 2주 (2014.06.12 ~ 2014.06.18),12394.0,21.74285714,17.21428571,27.22857143,1.485714286,1021.21,33115.0,98953562.0,5645479.168,752.5,82.729
06월 3주 (2014.06.19 ~ 2014.06.25),12736.0,21.95714286,18.31428571,26.68571429,3.542857143,1014.12,33115.0,98953561.5,5645479.168,752.5,82.729
06월 4주 (2014.06.26 ~ 2014.07.02),12733.0,23.78571429,19.37142857,29.28571429,1.671428571,1009.45,33115.0,98953561.5,5645479.168,752.5,82.729
07월 1주 (2014.07.03 ~ 2014.07.09),12057.0,23.41428571,20.37142857,27.3,6.828571429,1019.05,59044.5,170911455.0,5645479.168,752.5,81.671
07월 2주 (2014.07.10 ~ 2014.07.16),11152.0,25.32857143,21.5,30.21428571,1.9,1029.5,59044.5,170911455.0,5645479.168,752.5,81.671
07월 3주 (2014.07.17 ~ 2014.07.23),11255.0,25.82857143,22.51428571,30.21428571,6.914285714,1026.05,59044.5,170911455.0,5645479.168,752.5,81.671
07월 4주 (2014.07.24 ~ 2014.07.30),11234.0,25.6,21.38571429,30.6,4.071428571,1037.75,59044.5,170911455.0,5645479.168,752.5,81.671
07월 5주 (2014.07.31 ~ 2014.08.06),10910.0,26.48571429,23.61428571,30.41428571,15.02857143,1036.55,59044.5,170911455.0,5645479.168,752.5,81.754
08월 1주 (2014.08.07 ~ 2014.08.13),11058.0,23.68571429,20.41428571,27.94285714,6.842857143,1021.2,34568.25,125173768.8,5645479.168,752.5,81.754
08월 2주 (2014.08.14 ~ 2014.08.20),10200.0,22.75714286,20.47142857,26.02857143,17.71428571,1018.0,34568.25,125173768.8,5645479.168,752.5,81.754
08월 3주 (2014.08.21 ~ 2014.08.27),9257.0,23.87142857,20.94285714,27.94285714,13.11428571,1014.1,34568.25,125173768.8,5645479.168,752.5,81.754
08월 4주 (2014.08.28 ~ 2014.09.03),9786.0,21.74285714,17.88571429,26.51428571,6.3,1024.65,34568.25,125173768.8,5645479.168,752.5,81.754
09월 1주 (2014.09.04 ~ 2014.09.05),10220.0,22.54285714,17.85714286,28.74285714,0.142857143,1035.3,24279.75,107724855.5,5645479.168,752.5,82.994
09월 2주 (2014.09.11 ~ 2014.09.17),10758.0,21.1,16.67142857,26.62857143,0.428571429,1044.2,24279.75,107724855.5,5645479.168,752.5,82.994
09월 3주 (2014.09.18 ~ 2014.09.24),11014.0,19.45714286,14.38571429,25.47142857,10.0,1044.35,24280.0,107724856.0,5645479.168,752.5,82.994
09월 4주 (2014.09.25 ~ 2014.10.01),10659.0,19.71428571,16.0,24.7,0.985714286,1061.35,24280.0,107724856.0,5645479.168,752.5,82.994
10월 1주 (2014.10.02 ~ 2014.10.08),10491.0,16.31428571,11.05714286,22.51428571,0.4,1074.1,41848.5,176159280.0,5645479.168,752.5,83.953
10월 2주 (2014.10.10 ~ 2014.10.15),11219.0,16.1,10.38571429,22.5,2.128571429,1063.37,41848.5,176159280.0,5645479.168,752.5,83.953
10월 3주 (2014.10.16 ~ 2014.10.22),12225.0,14.1,8.871428571,20.02857143,10.72857143,1057.5,41848.5,176159280.0,5645479.168,752.5,83.953
10월 4주 (2014.10.23 ~ 2014.10.29),14988.0,12.87142857,7.0,20.6,0.014285714,1073.6,41848.5,176159280.0,5645479.168,752.5,83.953
10월 5주 (2014.10.30 ~ 2014.11.05),16549.0,11.62857143,6.871428571,17.07142857,3.928571429,1086.84,41848.5,176159280.0,5645479.168,752.5,80.982
11월 1주 (2014.11.06 ~ 2014.11.12),17104.0,10.11428571,4.885714286,16.2,0.8,1100.84,17642.25,80039298.75,5645479.168,752.5,80.982
11월 2주 (2014.11.13 ~ 2014.11.19),17970.0,5.514285714,0.628571429,11.52857143,0.142857143,1111.25,17642.25,80039298.75,5645479.168,752.5,80.982
11월 3주 (2014.11.20 ~ 2014.11.26),16576.0,8.828571429,4.285714286,14.34285714,4.414285714,1113.17,17642.25,80039298.75,5645479.168,752.5,80.982
11월 4주 (2014.11.27 ~ 2014.12.03),15801.0,5.571428571,1.371428571,10.11428571,2.885714286,1121.6,17642.25,80039298.75,5645479.168,752.5,80.982
12월 1주 (2014.12.04 ~ 2014.12.10),17072.0,-0.657142857,-4.7,3.971428571,0.771428571,1104.35,4052.25,39782088.0,5645479.168,752.5,80.219
12월 2주 (2014.12.11 ~ 2014.12.17),17560.0,-0.957142857,-4.957142857,2.957142857,1.571428571,1100.11,4052.25,39782088.0,5645479.168,752.5,80.219
12월 3주 (2014.12.18 ~ 2014.12.24),18056.0,-1.271428571,-6.385714286,3.928571429,0.571428571,1099.8,4052.25,39782088.0,5645479.168,752.5,80.219
12월 4주 (2014.12.26 ~ 2014.12.31),18522.0,0.385714286,-4.357142857,6.171428571,0.128571429,1106.92,4052.25,39782088.0,5645479.168,752.5,80.219
01월 1주 (2015.01.02 ~ 2015.01.07),20445.0,-0.857142857,-5.628571429,4.542857143,1.371428571,1085.82,3705.0,39091560.75,5693145.833,719.0416668,81.573
01월 2주 (2015.01.08 ~ 2015.01.14),23756.0,0.1,-4.8,5.642857143,0.071428571,1079.07,3705.0,39091561.0,5693145.833,719.0416668,81.573
01월 3주 (2015.01.15 ~ 2015.01.21),24074.0,1.385714286,-3.214285714,6.142857143,0.757142857,1077.51,3705.0,39091561.0,5693145.833,719.0416668,81.573
01월 4주 (2015.01.22 ~ 2015.01.28),25299.0,2.114285714,-1.771428571,6.7,1.142857143,1102.4,3705.0,39091560.75,5693145.833,719.0416668,81.573
01월 5주 (2015.01.29 ~ 2015.02.04),26561.0,-0.414285714,-5.157142857,5.242857143,0.228571429,1098.01,3705.0,39091560.75,5693145.833,719.0416668,83.728
02월 1주 (2015.02.05 ~ 2015.02.11),27426.0,0.385714286,-4.5,5.914285714,0.057142857,1097.88,6710.0,32220535.5,5693145.833,719.0416668,83.728
02월 2주 (2015.02.12 ~ 2015.02.17),27767.0,2.742857143,-1.214285714,6.885714286,2.028571429,1110.56,6710.0,32220535.5,5693145.833,719.0416668,83.728
